Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,277.137,2019-03-05,10,Ewallet,263.94,13.197,5.1
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,69.72,2019-03-15,12,Credit card,66.4,3.32,4.4
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,181.44,2019-02-17,11,Ewallet,172.8,8.64,9.9
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,279.1845,2019-03-02,17,Ewallet,265.89,13.2945,6.0
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,441.756,2019-03-22,19,Credit card,420.72,21.036,8.5
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.196,2019-02-08,15,Cash,33.52,1.676,6.7
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,184.107,2019-03-10,12,Credit card,175.34,8.767,7.7
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,463.89,2019-01-25,19,Cash,441.8,22.09,9.6
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,235.2105,2019-03-15,15,Cash,224.01,11.2005,7.4
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,494.1825,2019-02-25,19,Credit card,470.65,23.5325,4.8
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,737.7615,2019-01-28,12,Cash,702.63,35.1315,4.5
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,703.752,2019-01-10,14,Cash,670.24,33.512,5.1
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,202.818,2019-03-15,10,Credit card,193.16,9.658,5.1
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,417.564,2019-02-06,10,Ewallet,397.68,19.884,7.5
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.526,2019-01-07,12,Ewallet,68.12,3.406,6.8
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,328.755,2019-03-10,19,Ewallet,313.1,15.655,7.0
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,575.316,2019-01-15,17,Ewallet,547.92,27.396,4.7
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,461.328,2019-03-23,13,Ewallet,439.36,21.968,7.6
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,253.008,2019-03-03,13,Cash,240.96,12.048,7.7
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.056,2019-01-17,18,Ewallet,86.72,4.336,7.9
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,117.831,2019-02-02,10,Cash,112.22,5.611,6.3
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,435.456,2019-02-08,13,Cash,414.72,20.736,5.6
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,829.08,2019-03-04,20,Cash,789.6,39.48,7.6
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,32.277,2019-03-16,19,Cash,30.74,1.537,7.2
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,394.632,2019-03-09,18,Cash,375.84,18.792,9.5
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,535.7205,2019-02-27,17,Credit card,510.21,25.5105,8.4
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,189.0945,2019-02-06,15,Ewallet,180.09,9.0045,4.1
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,119.259,2019-02-10,12,Credit card,113.58,5.679,8.1
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,867.615,2019-03-19,17,Ewallet,826.3,41.315,7.9
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,671.79,2019-02-03,10,Cash,639.8,31.99,9.5
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,234.0975,2019-02-10,15,Cash,222.95,11.1475,8.5
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,75.054,2019-03-22,14,Ewallet,71.48,3.574,6.5
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2015,2019-01-25,15,Credit card,15.43,0.7715,6.1
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,33.936,2019-03-07,11,Ewallet,32.32,1.616,6.5
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,722.232,2019-02-28,19,Cash,687.84,34.392,8.2
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,93.114,2019-03-27,11,Cash,88.68,4.434,5.8
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,752.64,2019-02-07,11,Ewallet,716.8,35.84,6.6
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,759.675,2019-01-20,15,Cash,723.5,36.175,5.4
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,192.843,2019-03-12,20,Cash,183.66,9.183,9.3
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,77.931,2019-02-15,17,Credit card,74.22,3.711,10.0
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,351.099,2019-02-24,10,Ewallet,334.38,16.719,7.0
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,520.4115,2019-02-03,13,Ewallet,495.63,24.7815,10.0
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,166.005,2019-03-06,12,Credit card,158.1,7.905,8.6
853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4,318.108,2019-02-14,14,Cash,302.96,15.148,7.6
877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10,166.635,2019-03-13,16,Cash,158.7,7.935,5.8
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2,70.287,2019-02-10,15,Ewallet,66.94,3.347,6.7
109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6,614.943,2019-01-07,15,Ewallet,585.66,29.283,9.9
232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10,827.085,2019-01-24,10,Cash,787.7,39.385,6.4
382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1,19.2465,2019-02-02,18,Cash,18.33,0.9165,4.3
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10,939.54,2019-01-06,12,Credit card,894.8,44.74,9.6
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,652.26,2019-02-11,16,Cash,621.2,31.06,5.9
510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3,152.838,2019-03-05,18,Ewallet,145.56,7.278,4.0
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,478.233,2019-03-09,18,Cash,455.46,22.773,8.7
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,705.6315,2019-01-22,10,Ewallet,672.03,33.6015,9.4
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,437.325,2019-01-13,17,Credit card,416.5,20.825,5.4
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,463.428,2019-01-09,14,Credit card,441.36,22.068,8.6
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,189.0945,2019-01-12,15,Credit card,180.09,9.0045,5.7
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,822.255,2019-03-05,16,Ewallet,783.1,39.155,6.6
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,106.995,2019-01-22,18,Cash,101.9,5.095,6.0
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,624.897,2019-01-21,14,Credit card,595.14,29.757,5.5
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,304.542,2019-01-26,19,Ewallet,290.04,14.502,6.4
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,161.7,2019-01-23,18,Ewallet,154.0,7.7,6.6
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,337.512,2019-02-23,18,Credit card,321.44,16.072,8.3
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,256.7775,2019-03-09,10,Cash,244.55,12.2275,6.6
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,610.491,2019-03-05,14,Ewallet,581.42,29.071,4.0
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,401.73,2019-03-25,10,Cash,382.6,19.13,9.9
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,362.943,2019-03-27,20,Credit card,345.66,17.283,7.3
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,44.5935,2019-01-02,16,Cash,42.47,2.1235,5.7
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,485.037,2019-02-27,17,Cash,461.94,23.097,6.1
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,198.996,2019-01-23,10,Cash,189.52,9.476,7.1
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,471.03,2019-01-26,19,Ewallet,448.6,22.43,8.2
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,161.553,2019-01-10,16,Ewallet,153.86,7.693,5.1
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,608.202,2019-03-12,12,Credit card,579.24,28.962,8.6
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,94.2375,2019-02-06,20,Credit card,89.75,4.4875,6.6
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,102.018,2019-03-08,20,Ewallet,97.16,4.858,7.2
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,922.635,2019-03-29,10,Ewallet,878.7,43.935,5.1
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,78.435,2019-02-09,13,Cash,74.7,3.735,4.1
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,166.1625,2019-03-23,10,Ewallet,158.25,7.9125,9.3
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,521.01,2019-03-05,18,Cash,496.2,24.81,7.4
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,51.1455,2019-03-26,19,Cash,48.71,2.4355,4.1
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,742.2975,2019-03-01,13,Cash,706.95,35.3475,7.2
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,218.0115,2019-02-01,11,Cash,207.63,10.3815,4.9
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,367.038,2019-03-28,16,Cash,349.56,17.478,9.9
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,223.0725,2019-03-19,18,Cash,212.45,10.6225,8.0
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,931.035,2019-01-12,14,Ewallet,886.7,44.335,7.3
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,172.494,2019-01-05,20,Credit card,164.28,8.214,7.9
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,391.419,2019-03-22,20,Cash,372.78,18.639,7.4
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,321.111,2019-03-24,10,Cash,305.82,15.291,4.2
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,860.685,2019-03-03,14,Cash,819.7,40.985,9.2
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,34.629,2019-02-05,11,Ewallet,32.98,1.649,4.6
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,309.3615,2019-02-05,10,Credit card,294.63,14.7315,7.8
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,535.374,2019-02-15,12,Cash,509.88,25.494,8.4
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,548.7615,2019-01-19,20,Ewallet,522.63,26.1315,4.3
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,763.4655,2019-02-01,20,Credit card,727.11,36.3555,9.5
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,85.113,2019-03-02,13,Credit card,81.06,4.053,7.1
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,115.185,2019-03-05,12,Ewallet,109.7,5.485,5.3
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,53.928,2019-01-16,15,Ewallet,51.36,2.568,5.2
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,115.08,2019-02-02,20,Ewallet,109.6,5.48,6.0
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,112.224,2019-01-20,20,Ewallet,106.88,5.344,4.1
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,836.304,2019-02-14,17,Credit card,796.48,39.824,5.2
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,419.832,2019-01-12,12,Credit card,399.84,19.992,6.5
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,944.622,2019-03-09,17,Credit card,899.64,44.982,4.2
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,536.844,2019-03-13,19,Credit card,511.28,25.564,4.6
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,474.348,2019-03-09,14,Ewallet,451.76,22.588,7.3
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,688.6215,2019-03-10,18,Credit card,655.83,32.7915,4.5
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,169.3125,2019-01-27,13,Cash,161.25,8.0625,9.0
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,299.8485,2019-01-08,16,Credit card,285.57,14.2785,5.9
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,575.736,2019-01-08,15,Ewallet,548.32,27.416,8.5
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,853.146,2019-02-08,11,Ewallet,812.52,40.626,7.2
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,291.207,2019-01-25,13,Cash,277.34,13.867,7.5
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,580.419,2019-03-06,20,Cash,552.78,27.639,8.3
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,146.328,2019-02-10,18,Cash,139.36,6.968,7.4
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,550.935,2019-02-17,14,Credit card,524.7,26.235,8.8
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,512.19,2019-03-08,16,Ewallet,487.8,24.39,5.3
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,284.193,2019-02-18,19,Cash,270.66,13.533,6.2
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,138.1275,2019-01-18,20,Credit card,131.55,6.5775,8.8
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,216.846,2019-02-18,15,Cash,206.52,10.326,9.8
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,545.055,2019-02-16,12,Cash,519.1,25.955,8.2
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,609.0,2019-03-16,19,Ewallet,580.0,29.0,9.2
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,942.9,2019-01-23,13,Credit card,898.0,44.9,5.4
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,950.25,2019-01-25,13,Cash,905.0,45.25,8.1
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,720.3,2019-02-05,19,Cash,686.0,34.3,9.1
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,31.9305,2019-02-22,10,Credit card,30.41,1.5205,8.4
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,491.085,2019-01-21,16,Ewallet,467.7,23.385,8.0
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,291.438,2019-03-08,17,Credit card,277.56,13.878,9.5
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,316.47,2019-02-10,12,Ewallet,301.4,15.07,9.2
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,277.788,2019-03-19,12,Credit card,264.56,13.228,5.6
262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8,603.624,2019-03-06,15,Credit card,574.88,28.744,6.2
238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8,272.664,2019-03-27,13,Credit card,259.68,12.984,4.9
608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4,384.468,2019-03-23,19,Credit card,366.16,18.308,4.8
584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7,254.016,2019-03-11,16,Credit card,241.92,12.096,7.3
746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9,786.618,2019-01-29,11,Credit card,749.16,37.458,7.4
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6,103.824,2019-02-07,18,Ewallet,98.88,4.944,9.9
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8,680.148,2019-01-28,13,Cash,647.76,32.388,9.3
782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5,484.5225,2019-02-20,15,Credit card,461.45,23.0725,9.0
279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1,75.7785,2019-01-04,19,Cash,72.17,3.6085,6.1
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5,263.97,2019-03-07,13,Ewallet,251.4,12.57,9.7
743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9,918.729,2019-03-30,14,Ewallet,874.98,43.749,6.0
423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6,588.357,2019-03-27,19,Ewallet,560.34,28.017,10.0
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8,362.712,2019-01-19,19,Credit card,345.44,17.272,8.3
275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1,66.8745,2019-02-25,16,Cash,63.69,3.1845,6.0
101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7,336.5565,2019-03-13,19,Credit card,320.53,16.0265,7.0
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2,160.44,2019-01-30,19,Ewallet,152.8,7.64,6.5
548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10,418.95,2019-02-20,15,Credit card,399.0,19.95,5.9
505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8,357.588,2019-02-25,14,Ewallet,340.56,17.028,5.6
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,1003.59,2019-01-16,13,Cash,955.8,47.79,4.8
687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10,1039.29,2019-02-08,16,Credit card,989.8,49.49,8.7
796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6,323.064,2019-01-19,16,Cash,307.68,15.384,6.5
105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7,510.972,2019-02-01,15,Credit card,486.64,24.332,8.5
249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5,367.5525,2019-01-03,11,Ewallet,350.05,17.5025,5.5
316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5,420.2625,2019-01-26,12,Credit card,400.25,20.0125,9.4
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,175.14,2019-03-03,19,Cash,166.8,8.34,6.3
608-27-6295,Mandalay,Member,Male,Electronic accessories,52.89,6,333.207,2019-01-19,17,Credit card,317.34,15.867,9.8
414-12-7047,Mandalay,Normal,Male,Food and beverages,19.79,8,166.236,2019-01-18,12,Ewallet,158.32,7.916,8.7
827-26-2100,Yangon,Member,Male,Home and lifestyle,33.84,9,319.788,2019-03-21,16,Ewallet,304.56,15.228,8.8
175-54-2529,Yangon,Member,Male,Food and beverages,22.17,8,186.228,2019-03-03,17,Credit card,177.36,8.868,9.6
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,165.4485,2019-02-13,10,Credit card,157.57,7.8785,4.8
407-63-8975,Yangon,Normal,Male,Food and beverages,73.88,6,465.444,2019-03-23,19,Ewallet,443.28,22.164,4.4
342-65-4817,Naypyitaw,Member,Male,Health and beauty,86.8,3,273.42,2019-01-28,16,Ewallet,260.4,13.02,9.9
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,472.311,2019-02-09,10,Cash,449.82,22.491,5.7
434-83-9547,Naypyitaw,Member,Male,Food and beverages,38.47,8,323.148,2019-01-23,11,Cash,307.76,15.388,7.7
851-28-6367,Yangon,Member,Male,Sports and travel,15.5,10,162.75,2019-03-23,10,Ewallet,155.0,7.75,8.0
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,34.31,8,288.204,2019-01-25,15,Ewallet,274.48,13.724,5.7
586-25-0848,Yangon,Normal,Female,Sports and travel,12.34,7,90.699,2019-03-04,11,Credit card,86.38,4.319,6.7
895-66-0685,Mandalay,Member,Male,Food and beverages,18.08,3,56.952,2019-03-05,19,Ewallet,54.24,2.712,8.0
305-14-0245,Mandalay,Member,Female,Home and lifestyle,94.49,8,793.716,2019-03-03,19,Ewallet,755.92,37.796,7.5
732-04-5373,Mandalay,Member,Male,Home and lifestyle,46.47,4,195.174,2019-02-08,10,Cash,185.88,9.294,7.0
400-60-7251,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.7735,2019-02-10,12,Ewallet,74.07,3.7035,9.9
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,293.202,2019-01-28,20,Credit card,279.24,13.962,5.9
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,77.04,3,242.676,2019-02-11,10,Credit card,231.12,11.556,7.2
437-58-8131,Mandalay,Normal,Female,Fashion accessories,73.52,2,154.392,2019-01-15,13,Ewallet,147.04,7.352,4.6
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,87.8,9,829.71,2019-03-16,19,Cash,790.2,39.51,9.2
641-43-2399,Mandalay,Normal,Male,Home and lifestyle,25.55,4,107.31,2019-01-26,20,Ewallet,102.2,5.11,5.7
831-07-6050,Yangon,Normal,Male,Electronic accessories,32.71,5,171.7275,2019-03-19,11,Credit card,163.55,8.1775,9.9
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78.0045,2019-01-13,19,Cash,74.29,3.7145,5.0
848-24-9445,Naypyitaw,Member,Male,Health and beauty,43.7,2,91.77,2019-03-26,18,Cash,87.4,4.37,4.9
856-22-8149,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.5545,2019-03-23,10,Ewallet,25.29,1.2645,6.1
699-01-4164,Naypyitaw,Normal,Male,Health and beauty,41.5,4,174.3,2019-03-12,19,Credit card,166.0,8.3,8.2
420-11-4919,Naypyitaw,Member,Female,Food and beverages,71.39,5,374.7975,2019-02-17,19,Credit card,356.95,17.8475,5.5
606-80-4905,Naypyitaw,Member,Female,Sports and travel,19.15,6,120.645,2019-01-29,10,Credit card,114.9,5.745,6.8
542-41-0513,Mandalay,Member,Female,Electronic accessories,57.49,4,241.458,2019-03-15,11,Cash,229.96,11.498,6.6
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,451.3635,2019-01-14,10,Cash,429.87,21.4935,9.8
875-46-5808,Mandalay,Member,Male,Health and beauty,25.9,10,271.95,2019-02-06,14,Ewallet,259.0,12.95,8.7
394-43-4238,Mandalay,Member,Male,Home and lifestyle,17.77,5,93.2925,2019-02-15,12,Credit card,88.85,4.4425,5.4
749-24-1565,Yangon,Normal,Female,Health and beauty,23.03,9,217.6335,2019-01-03,12,Ewallet,207.27,10.3635,7.9
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,66.65,9,629.8425,2019-01-04,18,Credit card,599.85,29.9925,9.7
263-87-5680,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,299.565,2019-03-18,17,Ewallet,285.3,14.265,7.8
573-58-9734,Mandalay,Normal,Female,Fashion accessories,30.37,3,95.6655,2019-03-28,13,Ewallet,91.11,4.5555,5.1
817-69-8206,Mandalay,Normal,Female,Electronic accessories,99.73,9,942.4485,2019-03-02,19,Credit card,897.57,44.8785,6.5
888-02-0338,Yangon,Normal,Male,Electronic accessories,26.23,9,247.8735,2019-01-25,20,Ewallet,236.07,11.8035,5.9
677-11-0152,Naypyitaw,Normal,Female,Food and beverages,93.26,9,881.307,2019-01-16,18,Cash,839.34,41.967,8.8
142-63-6033,Mandalay,Normal,Male,Home and lifestyle,92.36,5,484.89,2019-03-20,19,Ewallet,461.8,23.09,4.9
656-16-1063,Mandalay,Normal,Male,Sports and travel,46.42,3,146.223,2019-01-04,13,Credit card,139.26,6.963,4.4
891-58-8335,Mandalay,Member,Female,Sports and travel,29.61,7,217.6335,2019-03-11,15,Cash,207.27,10.3635,6.5
802-43-8934,Yangon,Normal,Male,Home and lifestyle,18.28,1,19.194,2019-03-22,15,Credit card,18.28,0.914,8.3
